,order_id,product_id,add_to_cart_order,reordered
2254237,237760,48726,8,1
2254238,237760,27966,9,1
2254239,237760,29328,10,1
2254240,237760,36865,11,1
2254241,237760,22825,12,1
2254242,237760,17898,13,1
2254243,237760,46886,14,1
2254244,237760,2426,15,1
2254245,237760,30169,16,0
2523025,266076,44142,1,1
2523026,266076,45116,2,1
2523027,266076,44684,3,0
2523028,266076,26316,4,0
2523029,266076,7628,5,0
2523030,266076,44234,6,0
2523031,266076,32299,7,0
2523032,266076,34194,8,1
2523033,266076,9327,9,0
2523034,266076,17794,10,1
2523035,266076,44267,11,0
2523036,266076,10246,12,0
2523037,266076,38797,13,1
2523038,266076,11408,14,0
2523039,266076,49481,15,0
2523040,266076,48806,16,0
2523041,266076,11964,17,0
2523042,266076,21781,18,0
2523043,266076,31562,19,1
2523044,266076,45664,20,0
2523045,266076,47672,21,1
2523046,266076,47626,22,1
2598313,274046,2846,1,0
2598314,274046,25170,2,0
2598315,274046,9286,3,0
2598316,274046,11643,4,0
2598317,274046,10875,5,0
2598318,274046,7926,6,0
2598319,274046,8500,7,0
2598320,274046,13672,8,0
2598321,274046,5912,9,0
2598322,274046,34126,10,0
2598323,274046,4086,11,0
2598324,274046,39732,12,0
2598325,274046,34358,13,0
2598326,274046,23001,14,0
2598327,274046,29668,15,0
2598328,274046,26369,16,0
2598329,274046,17794,17,0
2598330,274046,31553,18,0
2598331,274046,49585,19,0
2598332,274046,7969,20,0
2598333,274046,30017,21,0
2598334,274046,10492,22,0
2598335,274046,24009,23,0
2598336,274046,3142,24,0
2598337,274046,48581,25,0
2598338,274046,28985,26,0
2598339,274046,21624,27,0
2598340,274046,27243,28,0
2598341,274046,42475,29,0
2598342,274046,26373,30,0
2598343,274046,31853,31,0
2618425,276161,12341,1,1
2618426,276161,17183,2,1
2618427,276161,22825,3,1
2618428,276161,13176,4,1
2618429,276161,17878,5,0
2671686,281802,11492,1,1
2671687,281802,8013,2,1
2689339,283679,43352,1,1
2689340,283679,42265,2,1
2689341,283679,39332,3,0
2689342,283679,20670,4,1
2689343,283679,13176,5,1
2689344,283679,15200,6,0
2689345,283679,20995,7,0
2689346,283679,14678,8,0
2689347,283679,13535,9,0
2916029,307904,9075,1,1
2916030,307904,682,2,1
2916031,307904,28204,3,0
2916032,307904,48871,4,0
2916033,307904,35042,5,1
2916034,307904,28450,6,0
2916035,307904,6891,7,0
2916036,307904,38782,8,0
2916037,307904,27730,9,0
2916038,307904,28987,10,0
2916039,307904,49310,11,0
2916040,307904,25094,12,0
2916041,307904,41714,13,0
2916042,307904,186,14,0
2916043,307904,25368,15,0
2916044,307904,45037,16,0
2916045,307904,41074,17,0
2916046,307904,48205,18,0
2953010,311819,5785,1,1
2953011,311819,33894,2,1
2953012,311819,19173,3,1
2953013,311819,4047,4,1
2953014,311819,24097,5,1
2953015,311819,22309,6,0
2953016,311819,21137,7,0
2953017,311819,41665,8,0
2953018,311819,10673,9,1
2953019,311819,4306,10,1
3004636,317187,1957,1,1
3004637,317187,26405,2,1
3004638,317187,18023,3,0
3004639,317187,31506,4,0
3004640,317187,5769,5,0
3004641,317187,9327,6,0
3004642,317187,42392,7,0
3004643,317187,7948,8,0
3004644,317187,42500,9,0
3006534,317373,20448,1,1
3006535,317373,13424,2,0
3006536,317373,8859,3,0
3006537,317373,8803,4,0
3051952,322157,48747,1,1
3051953,322157,17183,2,1
3051954,322157,35851,3,1
3051955,322157,22151,4,1
3051956,322157,44786,5,1
3051957,322157,24852,6,1
3051958,322157,19706,7,1
3051959,322157,27344,8,1
3051960,322157,29328,9,1
3051961,322157,44948,10,1
3051962,322157,6342,11,1
3051963,322157,43122,12,1
3051964,322157,37552,13,0
3051965,322157,34050,14,0
3161386,333779,28535,1,0
3161387,333779,38657,2,0
3161388,333779,4071,3,0
3161389,333779,8694,4,0
3161390,333779,40589,5,0
3161391,333779,48109,6,0
3161392,333779,21903,7,0
3161393,333779,47734,8,0
3161394,333779,49683,9,0
3161395,333779,34850,10,0
3161396,333779,4162,11,0
3161397,333779,44282,12,0
3161398,333779,21681,13,0
3161399,333779,46667,14,0
3161400,333779,47626,15,1
3161401,333779,13984,16,0
3161402,333779,7969,17,1
3161403,333779,16823,18,0
3161404,333779,7021,19,0
3161405,333779,2101,20,0
3161406,333779,5450,21,0
3161407,333779,45664,22,0
3161408,333779,18471,23,0
3161409,333779,42265,24,0
3161410,333779,28204,25,0
3161411,333779,24390,26,0
3161412,333779,41950,27,0
3161413,333779,30450,28,0
3174049,335164,38768,1,0
3174050,335164,48175,2,0
3215216,339541,16505,1,1
3215217,339541,21903,2,1
3215218,339541,24852,3,1
3215219,339541,44948,4,1
3215220,339541,9561,5,1
3215221,339541,8277,6,1
3215222,339541,12341,7,1
3215223,339541,36342,8,1
3215224,339541,17183,9,1
3215225,339541,26292,10,0
3215226,339541,28670,11,0
3426079,361915,7398,1,1
3426080,361915,30696,2,1
3426081,361915,47611,3,1
3426082,361915,42460,4,1
3426083,361915,32303,5,1
3426084,361915,26604,6,1
3426085,361915,15923,7,0
3426086,361915,33129,8,1
3426087,361915,37836,9,1
3426088,361915,5785,10,1
3614066,381776,33000,1,1
3614067,381776,34208,2,1
3614068,381776,49235,3,1
3852166,406671,8859,1,1
3859577,407415,49235,1,1
3859578,407415,22362,2,1
3859579,407415,31759,3,1
3859580,407415,43744,4,1
3986712,420648,2078,1,1
3986713,420648,4071,2,1
3986714,420648,48109,3,1
3986715,420648,4162,4,1
4006846,422777,21385,1,1
4006847,422777,20448,2,0
4006848,422777,5161,3,1
4006849,422777,42265,4,1
4006850,422777,21903,5,0
4055927,427980,34050,1,1
4055928,427980,24852,2,1
4055929,427980,8277,3,1
4055930,427980,13263,4,0
4055931,427980,36342,5,1
4055932,427980,16505,6,1
4055933,427980,12341,7,1
4055934,427980,22151,8,1
4055935,427980,21903,9,1
4231125,446487,5785,1,1
4231126,446487,40348,2,1
4231127,446487,5097,3,1
4231128,446487,9076,4,1
4231129,446487,22309,5,1
4231130,446487,21484,6,0
4231131,446487,14668,7,1
4231132,446487,13230,8,1
4231133,446487,24097,9,1
4231134,446487,39719,10,0
4231135,446487,39351,11,1
4231136,446487,4306,12,1
4231137,446487,17600,13,1
4305914,454511,5876,1,0
4305915,454511,26209,2,1
4305916,454511,37646,3,1
4305917,454511,39928,4,0
4305918,454511,28695,5,0
4305919,454511,26191,6,0
4305920,454511,22833,7,0
4388625,463220,25017,1,1
4388626,463220,42265,2,1
4388627,463220,17720,3,0
4493213,474279,4210,1,1
4493214,474279,31194,2,0
4493215,474279,21417,3,0
4493216,474279,5262,4,1
4493217,474279,47547,5,0
4677745,493651,21503,1,1
4677746,493651,9075,2,1
4677747,493651,28427,3,1
4677748,493651,48903,4,0
4677749,493651,1940,5,1
4677750,493651,5077,6,0
4677751,493651,41714,7,1
4870169,514064,5876,1,1
4870170,514064,48628,2,0
4870171,514064,5326,3,0
4870172,514064,43394,4,0
4870173,514064,738,5,1
4870174,514064,35734,6,0
4870175,514064,43920,7,0
4870176,514064,23405,8,0
4870177,514064,13176,9,1
4870178,514064,47766,10,1
5495478,579991,30169,1,0
5495479,579991,47209,2,1
5495480,579991,2063,3,1
5495481,579991,4210,4,0
5631148,594407,8402,1,1
5673950,598959,33894,1,1
5673951,598959,4047,2,1
5673952,598959,39275,3,1
5673953,598959,14161,4,0
5673954,598959,7398,5,1
5673955,598959,5097,6,1
5673956,598959,3800,7,1
5673957,598959,43928,8,0
5673958,598959,8479,9,0
5673959,598959,24097,10,1
5673960,598959,14168,11,1
5673961,598959,44042,12,0
5673962,598959,10673,13,1
5702243,601980,1463,1,1
5702244,601980,7673,2,0
5702245,601980,23622,3,0
5702246,601980,30391,4,1
5702247,601980,34126,5,0
5702248,601980,31662,6,0
5702249,601980,23233,7,0
5702250,601980,47766,8,0
5702251,601980,7969,9,0
5702252,601980,6046,10,0
5702253,601980,28278,11,0
5702254,601980,4269,12,0
5702255,601980,738,13,1
5702256,601980,44303,14,0
5702257,601980,28204,15,1
5702258,601980,8021,16,0
5702445,602001,49235,1,1
5702446,602001,43744,2,1
5702447,602001,26348,3,0
5707133,602464,26405,1,1
5707134,602464,13948,2,0
5707135,602464,14715,3,1
5727271,604556,33000,1,1
5727272,604556,16797,2,0
5727273,604556,43720,3,0
5727274,604556,30633,4,0
5727275,604556,27845,5,0
5727276,604556,14715,6,0
5758896,607926,3800,1,0
5758897,607926,42834,2,1
5758898,607926,23840,3,1
5758899,607926,18327,4,1
5758900,607926,28386,5,0
5758901,607926,31551,6,1
5758902,607926,4306,7,1
5775483,609649,33037,1,0
5775484,609649,27845,2,0
5775485,609649,28204,3,0
5775486,609649,13176,4,1
5775487,609649,39984,5,0
5775488,609649,18531,6,0
5775489,609649,45007,7,0
5775490,609649,21903,8,1
5911622,623931,42475,1,1
5911623,623931,44142,2,1
5911624,623931,45007,3,0
5911625,623931,13780,4,1
5911626,623931,13304,5,1
5911627,623931,45965,6,0
5911628,623931,47626,7,0
5911629,623931,9076,8,0
5911630,623931,47672,9,1
5911631,623931,10321,10,0
5911632,623931,5025,11,0
5911633,623931,4872,12,0
6013527,634754,31506,1,1
6013528,634754,5769,2,1
6013529,634754,890,3,1
6013530,634754,9327,4,1
6038556,637461,30489,1,0
6038557,637461,738,2,0
6038558,637461,37220,3,0
6038559,637461,12872,4,0
6038560,637461,14429,5,0
6038561,637461,38273,6,0
6038562,637461,32035,7,0
6038563,637461,31506,8,0
6038564,637461,30391,9,0
6038565,637461,5621,10,0
6038566,637461,23291,11,0
6038567,637461,35633,12,0
6038568,637461,41950,13,0
6363179,671648,9075,1,1
6363180,671648,35914,2,0
6363181,671648,47144,3,1
6363182,671648,24852,4,1
6363183,671648,15100,5,0
6363184,671648,39977,6,0
6363185,671648,6679,7,0
6363186,671648,42265,8,0
6363187,671648,15134,9,0
6363188,671648,48871,10,1
6363189,671648,44156,11,0
6363190,671648,7533,12,0
6363191,671648,38241,13,0
6363192,671648,24044,14,1
6363193,671648,682,15,1
6363194,671648,43951,16,0
6370661,672389,24852,1,1
6370662,672389,12341,2,1
6370663,672389,17898,3,1
6370664,672389,48726,4,1
6370665,672389,36865,5,0
6370666,672389,28465,6,0
6370667,672389,19548,7,1
6454496,681117,682,1,1
6454497,681117,9075,2,1
6454498,681117,24852,3,1
6454499,681117,1940,4,0
6454500,681117,36103,5,1
6454501,681117,10255,6,0
6454502,681117,16349,7,0
6454503,681117,32877,8,0
6454504,681117,26767,9,0
6454505,681117,32779,10,0
6584256,695012,36011,1,1
6584257,695012,13230,2,0
6584258,695012,7398,3,1
6584259,695012,9007,4,0
6669352,703896,8898,1,1
6669353,703896,42460,2,0
6669354,703896,39275,3,1
6669355,703896,27966,4,1
6669356,703896,19389,5,0
6669357,703896,26604,6,0
6669358,703896,4306,7,1
6669359,703896,36144,8,0
6669360,703896,30511,9,1
6689263,706031,34243,1,1
6689264,706031,2846,2,0
6689265,706031,8104,3,0
6704763,707716,1940,1,1
6704764,707716,9075,2,1
6704765,707716,682,3,1
6704766,707716,7533,4,1
6704767,707716,47611,5,1
6704768,707716,25581,6,0
6704769,707716,29373,7,1
6704770,707716,24044,8,1
6704771,707716,1204,9,1
6857144,723841,79,1,0
6857145,723841,24382,2,0
6857146,723841,23622,3,1
6857147,723841,36695,4,0
6857148,723841,18531,5,1
6857149,723841,37220,6,1
6857150,723841,738,7,1
6857151,723841,48628,8,1
6857152,723841,15008,9,0
6857153,723841,7088,10,1
6857154,723841,17247,11,0
6857155,723841,32106,12,0
6857156,723841,11720,13,0
6926705,731299,29689,1,1
6955436,734398,13948,1,0
6955437,734398,40939,2,0
6955438,734398,19660,3,0
6955439,734398,31759,4,1
6955440,734398,13032,5,0
6955441,734398,10509,6,0
6955442,734398,196,7,0
7106192,750249,48747,1,1
7106193,750249,35851,2,1
7106194,750249,6508,3,1
7106195,750249,2716,4,0
7106196,750249,43122,5,1
7106197,750249,22825,6,1
7106198,750249,22151,7,1
7106199,750249,24852,8,1
7106200,750249,13269,9,0
7106201,750249,44786,10,0
7106202,750249,19706,11,1
7262305,766709,14114,1,1
7262306,766709,30558,2,0
7262307,766709,10258,3,0
7262308,766709,21385,4,1
7262309,766709,42265,5,1
7262310,766709,23588,6,1
7296025,770267,21125,1,1
7296026,770267,18352,2,0
7296027,770267,35914,3,1
7296028,770267,42972,4,1
7448521,786280,4724,1,1
7448522,786280,30558,2,1
7448523,786280,34343,3,1
7448524,786280,15541,4,1
7448525,786280,16283,5,0
7448526,786280,44683,6,0
7509376,792657,42972,1,1
7509377,792657,7781,2,0
7509378,792657,45265,3,1
7510538,792785,23719,1,1
7510539,792785,17874,2,1
7510540,792785,24852,3,1
7510541,792785,8277,4,1
7510542,792785,44948,5,1
7510543,792785,23630,6,1
7633324,805809,25017,1,1
7633325,805809,28918,2,0
7633326,805809,651,3,1
7633327,805809,14256,4,0
7633328,805809,20670,5,0
7633329,805809,43352,6,1
7680744,810776,21903,1,0
7680745,810776,41055,2,0
7680746,810776,1463,3,0
7680747,810776,3988,4,0
7680748,810776,8518,5,0
7680749,810776,13176,6,0
7703916,813172,47676,1,0
7703917,813172,4210,2,1
7703918,813172,5262,3,1
7703919,813172,28594,4,1
7703920,813172,22935,5,1
7745301,817512,33894,1,1
7745302,817512,47611,2,1
7770861,820243,49235,1,1
7770862,820243,13032,2,1
7770863,820243,43744,3,1
7770864,820243,10509,4,1
7770865,820243,40199,5,1
7770866,820243,40939,6,1
8042602,848978,37291,1,1
8042603,848978,26932,2,0
8077373,852644,47611,1,1
8077374,852644,5785,2,1
8077375,852644,19173,3,1
8077376,852644,39275,4,1
8077377,852644,5819,5,0
8077378,852644,29553,6,1
8077379,852644,17122,7,0
8077380,852644,33087,8,0
8077381,852644,32303,9,1
8077382,852644,2026,10,1
8322333,878486,10246,1,1
8322334,878486,21903,2,1
8322335,878486,47766,3,1
8322336,878486,34401,4,1
8322337,878486,19508,5,0
8322338,878486,24390,6,0
8322339,878486,13176,7,1
8322340,878486,38622,8,0
8322341,878486,9372,9,0
8322342,878486,45053,10,0
8322343,878486,10754,11,0
8454674,892435,8277,1,1
8454675,892435,12341,2,1
8454676,892435,24852,3,1
8454677,892435,43122,4,1
8454678,892435,35851,5,1
8454679,892435,17183,6,1
8454680,892435,6342,7,1
8454681,892435,27344,8,1
8454682,892435,9561,9,0
8454683,892435,46886,10,1
8454684,892435,36735,11,1
8454685,892435,7185,12,1
8534394,900939,49235,1,1
8534395,900939,43744,2,1
8534396,900939,16953,3,0
8534397,900939,21572,4,0
8534398,900939,40199,5,1
8756233,924308,17788,1,0
8756234,924308,38060,2,0
8756235,924308,33894,3,1
9043800,954780,8013,1,0
9043801,954780,11492,2,0
9138063,964682,48726,1,1
9138064,964682,24852,2,1
9138065,964682,8277,3,1
9138066,964682,12341,4,1
9138067,964682,36342,5,1
9138068,964682,36865,6,1
9138069,964682,14917,7,0
9138070,964682,39275,8,0
9178889,968874,940,1,1
9218369,972975,24852,1,1
9218370,972975,47209,2,1
9218371,972975,12341,3,1
9218372,972975,35851,4,1
9218373,972975,43122,5,1
9218374,972975,8277,6,1
9218375,972975,9426,7,1
9218376,972975,48726,8,1
9218377,972975,4217,9,1
9218378,972975,17898,10,1
9218379,972975,44948,11,1
9218380,972975,18838,12,0
9218381,972975,34050,13,1
9218382,972975,28745,14,1
9386497,990830,7849,1,0
9386498,990830,44234,2,0
9386499,990830,13170,3,0
9386500,990830,21090,4,0
9386501,990830,15424,5,0
9508121,1003646,2026,1,1
9508122,1003646,14862,2,1
9508123,1003646,21894,3,1
9508124,1003646,4306,4,1
9508125,1003646,7398,5,1
9557406,1008861,5769,1,1
9573437,1010532,940,1,0
9585321,1011779,25718,1,0
9585322,1011779,38847,2,0
9585323,1011779,2078,3,0
9585324,1011779,19749,4,0
9585325,1011779,47626,5,0
9585326,1011779,7969,6,0
9655119,1019221,9623,1,0
9655120,1019221,35914,2,0
9655121,1019221,44855,3,0
9655122,1019221,13230,4,0
9684609,1022421,31964,1,1
9684610,1022421,42972,2,1
9684611,1022421,13230,3,1
9925039,1047977,8866,1,1
9925040,1047977,18441,2,0
9925041,1047977,28204,3,1
9925042,1047977,29270,4,0
9925043,1047977,13292,5,0
10049319,1061105,7156,1,1
10049320,1061105,48628,2,1
10049321,1061105,42701,3,1
10049322,1061105,10798,4,1
10049323,1061105,13176,5,1
10049324,1061105,44359,6,0
10049325,1061105,40554,7,0
10049326,1061105,22474,8,0
10049327,1061105,33990,9,0
10205624,1077503,13176,1,1
10205625,1077503,12341,2,0
10234118,1080490,43744,1,1
10234119,1080490,49235,2,1
10234120,1080490,22362,3,1
10234121,1080490,40199,4,1
10594485,1118446,9213,1,1
10686383,1128127,39275,1,1
10686384,1128127,42460,2,1
10686385,1128127,5785,3,1
10686386,1128127,19173,4,1
10686387,1128127,29553,5,1
10686388,1128127,45064,6,0
10686389,1128127,1263,7,0
10686390,1128127,27801,8,0
10686391,1128127,31467,9,0
10686392,1128127,42834,10,0
10686393,1128127,18327,11,0
10686394,1128127,14168,12,1
10686395,1128127,32303,13,1
10719322,1131565,26932,1,1
10803002,1140541,35914,1,1
10803003,1140541,264,2,0
10803004,1140541,43279,3,0
10803005,1140541,45265,4,0
10803006,1140541,42972,5,1
10803007,1140541,32740,6,1
10803008,1140541,19849,7,0
10893298,1150031,35726,1,0
10893299,1150031,31562,2,1
10893300,1150031,47672,3,0
10893301,1150031,29744,4,1
10893302,1150031,38797,5,0
10893303,1150031,35430,6,0
10893304,1150031,36086,7,0
10893305,1150031,39275,8,0
10893306,1150031,2350,9,0
10893307,1150031,18531,10,0
10893308,1150031,15848,11,0
10893309,1150031,3619,12,0
10893310,1150031,12481,13,0
10893311,1150031,45753,14,0
10893312,1150031,12875,15,0
10893313,1150031,47238,16,0
10893314,1150031,41108,17,0
10893315,1150031,14168,18,0
10893316,1150031,26301,19,0
11098253,1171609,21386,1,0
11184384,1180855,43744,1,1
11184385,1180855,22362,2,1
11184386,1180855,13032,3,1
11184387,1180855,10509,4,1
11184388,1180855,40969,5,0
11184389,1180855,40939,6,1
11247682,1187511,32198,1,0
11247683,1187511,30994,2,0
11247684,1187511,10210,3,0
11247685,1187511,41230,4,1
11247686,1187511,34243,5,0
11600866,1224671,13032,1,1
11600867,1224671,49235,2,1
11600868,1224671,10509,3,1
11600869,1224671,40969,4,1
11600870,1224671,36472,5,0
11600871,1224671,44172,6,0
11600872,1224671,15680,7,0
11741666,1239648,940,1,1
11779432,1243638,20955,1,0
11779433,1243638,29689,2,1
11779434,1243638,33894,3,1
11787041,1244451,42265,1,1
11787042,1244451,5161,2,1
11787043,1244451,21195,3,0
11787044,1244451,25017,4,1
12059391,1272995,35217,1,0
12059392,1272995,38273,2,1
12059393,1272995,5991,3,0
12059394,1272995,48628,4,1
12059395,1272995,30391,5,1
12059396,1272995,10246,6,1
12059397,1272995,4605,7,1
12059398,1272995,7969,8,1
12059399,1272995,4518,9,0
12059400,1272995,42265,10,0
12059401,1272995,31506,11,1
12059402,1272995,7054,12,0
12149369,1282427,1999,1,1
12149370,1282427,18689,2,0
12149371,1282427,5973,3,0
12149372,1282427,26369,4,0
12149373,1282427,30391,5,0
12149374,1282427,33407,6,0
12149375,1282427,47626,7,1
12149376,1282427,26317,8,0
12149377,1282427,13231,9,0
12149378,1282427,44359,10,0
12149379,1282427,42265,11,1
12149380,1282427,24830,12,0
12149381,1282427,40706,13,0
12149382,1282427,47734,14,1
12149383,1282427,8518,15,0
12149384,1282427,23265,16,0
12149385,1282427,42585,17,0
12149386,1282427,33015,18,0
12149387,1282427,27900,19,0
12149388,1282427,7388,20,0
12306771,1299027,36011,1,1
12306772,1299027,3318,2,1
12306773,1299027,39275,3,1
12306774,1299027,33894,4,1
12306775,1299027,48129,5,0
12306776,1299027,14875,6,1
12542108,1323738,49235,1,1
12542109,1323738,22362,2,1
12542110,1323738,8843,3,0
12749326,1345650,36011,1,1
12749327,1345650,3318,2,0
12749328,1345650,14875,3,0
12749329,1345650,9076,4,0
12749330,1345650,34690,5,1
12749331,1345650,11154,6,0
12749332,1345650,47941,7,0
12763393,1347168,10108,1,0
12763394,1347168,7969,2,1
12763395,1347168,37065,3,0
12763396,1347168,44142,4,0
12763397,1347168,31562,5,0
12763398,1347168,4210,6,0
12763399,1347168,15261,7,0
12763400,1347168,14454,8,0
12763401,1347168,16432,9,0
12763402,1347168,16823,10,0
12763403,1347168,29744,11,0
12763404,1347168,36180,12,0
12763405,1347168,13780,13,0
12763406,1347168,24622,14,0
12763407,1347168,18963,15,0
12763408,1347168,7978,16,0
12763409,1347168,22890,17,0
12763410,1347168,4006,18,0
12763411,1347168,47966,19,0
12763412,1347168,15457,20,0
12763413,1347168,31372,21,0
12763414,1347168,23537,22,0
12827884,1353970,5161,1,1
12892158,1360848,13176,1,1
13015362,1373808,24492,1,0
13015363,1373808,20520,2,0
13015364,1373808,34824,3,0
13015365,1373808,41950,4,1
13015366,1373808,3376,5,0
13015367,1373808,1752,6,0
13015368,1373808,9546,7,0
13047918,1377241,24852,1,1
13047919,1377241,48747,2,1
13047920,1377241,19706,3,1
13047921,1377241,25157,4,0
13047922,1377241,46331,5,0
13053192,1377814,682,1,1
13053193,1377814,9075,2,1
13053194,1377814,47087,3,0
13053195,1377814,33754,4,0
13053196,1377814,3823,5,0
13053197,1377814,36794,6,0
13053198,1377814,21503,7,1
13053199,1377814,1204,8,0
13053200,1377814,42832,9,0
13053201,1377814,24852,10,1
13053202,1377814,29373,11,0
13053203,1377814,38200,12,0
13053204,1377814,38400,13,0
13053205,1377814,30479,14,0
13053206,1377814,5450,15,0
13053207,1377814,32478,16,0
13053208,1377814,47611,17,0
13053209,1377814,45007,18,0
13053210,1377814,30406,19,0
13053211,1377814,36259,20,0
13165684,1389589,13176,1,0
13165685,1389589,21385,2,1
13165686,1389589,14114,3,0
13165687,1389589,39954,4,0
13165688,1389589,31805,5,1
13165689,1389589,30486,6,0
13165690,1389589,23588,7,0
13183446,1391419,682,1,1
13183447,1391419,1940,2,1
13183448,1391419,29373,3,1
13183449,1391419,9075,4,1
13183450,1391419,21503,5,1
13183451,1391419,45037,6,1
13183452,1391419,22105,7,1
13275754,1401015,8898,1,1
13275755,1401015,30511,2,1
13275756,1401015,39275,3,1
13275757,1401015,7398,4,1
13275758,1401015,23840,5,0
13275759,1401015,19173,6,1
13275760,1401015,5097,7,1
13369058,1410976,24852,1,1
13369059,1410976,8277,2,1
13369060,1410976,9561,3,1
13369061,1410976,36342,4,1
13369062,1410976,17183,5,1
13369063,1410976,16505,6,1
13369064,1410976,12341,7,1
13369065,1410976,7185,8,1
13369066,1410976,17579,9,1
13369067,1410976,17898,10,1
13369068,1410976,28670,11,1
13676115,1443471,47766,1,1
13676116,1443471,44142,2,1
13676117,1443471,46206,3,1
13676118,1443471,16349,4,1
13676119,1443471,42585,5,1
13676120,1443471,9076,6,1
13676121,1443471,6774,7,1
13727347,1448926,5785,1,1
